7.23	6.00	97.90	
6.07	6.00	98.10	
5.47	6.00	97.00	
4.50	6.00	97.13	
6.21	6.00	97.14	
7.23	6.00	97.00	
5.52	6.00	96.97	
5.52	6.00	97.48	
6.07	6.00	96.86	
4.22	6.00	96.78	
5.30	6.00	96.27	
6.97	5.50	96.97	
9.23	5.00	97.87	
8.47	6.10	97.03	
6.60	7.93	90.70	
5.40	8.87	85.43	
4.97	11.20	76.57	
4.00	10.30	75.03	
4.10	9.60	74.80	
4.43	7.93	82.80	
9.73	7.00	88.70	
14.93	6.17	90.73	
20.27	6.00	92.93	
24.97	6.00	93.00	
27.90	6.00	92.90	
32.10	6.00	93.00	
34.90	6.00	94.17	
32.67	6.80	94.60	
19.13	6.47	95.17	
13.83	6.00	96.00	
11.25	6.00	96.00	
8.14	6.00	96.46	
5.93	6.00	96.00	
6.24	6.00	96.10	
6.93	6.70	95.17	
6.13	7.00	93.87	
6.97	7.00	92.97	
5.83	7.00	91.73	
6.23	7.07	92.60	
5.97	7.00	95.37	
3.97	6.73	98.00	
4.40	6.00	98.93	
3.72	6.41	97.97	
4.10	7.00	97.30	
4.33	7.00	98.43	
2.83	7.00	96.70	
2.43	7.00	93.93	
1.67	7.97	89.67	
1.50	7.23	92.97	
1.58	7.00	94.21	
1.39	7.11	94.11	
2.15	7.30	96.37	
1.33	7.93	97.47	
1.07	8.00	96.11	
1.39	8.00	96.29	
1.90	8.00	96.23	
1.83	8.97	94.67	
1.67	9.50	90.00	
1.70	10.23	86.23	
1.87	11.10	83.03	
1.93	11.60	81.07	
1.83	9.53	95.33	
1.83	9.00	97.67	
1.73	9.00	99.37	
1.23	9.00	100.00	
1.07	9.00	100.60	
1.03	9.13	100.97	
2.10	10.00	100.23	
1.33	8.73	97.83	
1.37	8.00	96.47	
2.50	7.08	96.62	
2.00	7.00	97.36	
0.88	6.47	97.41	
1.09	6.26	98.09	
1.54	6.00	98.79	
1.93	5.20	97.97	
2.20	6.07	97.20	
1.63	8.10	90.57	
1.70	10.83	76.80	
2.30	10.90	71.23	
2.40	9.80	74.40	
2.17	8.67	76.47	
1.83	7.73	81.93	
4.23	6.97	89.03	
7.27	6.00	92.30	
10.93	5.20	94.23	
11.73	5.70	94.73	
13.57	4.93	93.50	
20.00	3.13	96.60	
23.87	3.00	98.23	
26.86	3.00	98.07	
17.21	2.82	99.32	
13.18	4.00	98.76	
15.35	4.00	97.00	
11.63	3.03	97.33	
10.63	3.00	96.00	
10.13	2.79	95.71	
9.77	2.37	96.53	
10.20	3.00	93.97	
12.77	3.73	91.13	
13.30	4.83	86.57	
9.73	6.23	79.90	
6.28	7.00	74.76	
8.07	5.20	84.37	
9.87	3.07	91.60	
19.45	2.00	95.07	
21.50	1.00	96.17	
18.20	0.43	95.10	
23.43	0.00	95.63	
22.10	0.00	96.80	
35.83	0.00	97.20	
35.97	0.00	96.20	
30.10	0.00	97.07	
27.20	0.00	95.93	
15.84	0.00	96.36	
11.96	0.00	96.96	
12.67	0.00	97.08	
14.11	-0.86	96.75	
17.33	-0.57	97.47	
18.90	1.07	94.20	
17.47	5.00	79.13	
