"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","RECEIVETIME"
"5511","XHPROPM25IN1398A","1","47","17","18","49","61","2017/4/5 9:00:00"
"5512","XHPROPM25IN1398A","0.7","20","12","67","29","75","2017/4/5 20:00:00"
"5513","XHPROPM25IN1398A","0.7","18","13","80","40","73","2017/4/4 3:00:00"
"5514","XHPROPM25IN1398A","0.7","18","14","73","43","70","2017/4/4 4:00:00"
"5515","XHPROPM25IN1398A","0.7","15","17","99","33","65","2017/4/5 14:00:00"
"5516","XHPROPM25IN1398A","0.6","11","10","68","21","36","2017/4/5 21:00:00"
"5517","XHPROPM25IN1398A","0.7","15","15","105","32","77","2017/4/4 16:00:00"
"5518","XHPROPM25IN1398A","0.9","47","19","45","57","57","2017/4/4 9:00:00"
"5519","XHPROPM25IN1398A","0.7","12","15","115","30","60","2017/4/4 14:00:00"
"5520","XHPROPM25IN1398A","0.7","39","10","50","29","67","2017/4/4 21:00:00"
"5521","XHPROPM25IN1398A","0.8","54","14","3","38","78","2017/4/5 7:00:00"
"5522","XHPROPM25IN1398A","0.8","27","13","80","35","80","2017/4/5 18:00:00"
"5523","XHPROPM25IN1398A","0.7","19","11","29","24","48","2017/4/6 2:00:00"
"5524","XHPROPM25IN1398A","0.7","16","11","82","38","67","2017/4/4 2:00:00"
"5525","XHPROPM25IN1398A","0.7","14","17","117","34","67","2017/4/4 13:00:00"
"5526","XHPROPM25IN1398A","0.8","61","13","18","45","76","2017/4/4 6:00:00"
"5527","XHPROPM25IN1398A","0.6","14","10","74","28","56","2017/4/4 19:00:00"
"5528","XHPROPM25IN1398A","0.7","21","10","31","27","56","2017/4/6"
"5529","XHPROPM25IN1398A","0.8","20","15","23","40","59","2017/4/6 7:00:00"
"5530","XHPROPM25IN1398A","0.7","28","14","","35","58","2017/4/5 4:00:00"
"5531","XHPROPM25IN1398A","0.8","40","16","19","40","69","2017/4/5 5:00:00"
"5532","XHPROPM25IN1398A","0.8","36","17","22","42","73","2017/4/5 6:00:00"
"5533","XHPROPM25IN1398A","0.7","22","10","34","26","53","2017/4/5 23:00:00"
"5534","XHPROPM25IN1398A","0.8","62","14","21","50","75","2017/4/4 7:00:00"
"5535","XHPROPM25IN1398A","0.7","20","22","109","39","70","2017/4/4 12:00:00"
"5536","XHPROPM25IN1398A","0.7","16","15","96","31","76","2017/4/5 15:00:00"
"5537","XHPROPM25IN1398A","0.8","21","13","26","34","61","2017/4/6 5:00:00"
"5538","XHPROPM25IN1398A","0.7","43","14","39","47","70","2017/4/4 5:00:00"
"5539","XHPROPM25IN1398A","0.7","14","13","95","30","61","2017/4/4 17:00:00"
"5540","XHPROPM25IN1398A","0.7","15","10","52","23","38","2017/4/5 22:00:00"
"5541","XHPROPM25IN1398A","0.6","11","10","76","22","47","2017/4/4 22:00:00"
"5542","XHPROPM25IN1398A","0.5","","21","39","32","56","2017/4/5 2:00:00"
"5543","XHPROPM25IN1398A","","","14","38","33","61","2017/4/5 3:00:00"
"5544","XHPROPM25IN1398A","0.8","27","11","70","37","87","2017/4/5 19:00:00"
"5545","XHPROPM25IN1398A","1.2","43","16","5","43","62","2017/4/6 9:00:00"
"5546","XHPROPM25IN1398A","0.9","52","16","7","44","62","2017/4/5 8:00:00"
"5547","XHPROPM25IN1398A","0.8","23","24","68","41","60","2017/4/5 12:00:00"
"5548","XHPROPM25IN1398A","0.7","21","22","81","41","79","2017/4/5 13:00:00"
"5549","XHPROPM25IN1398A","0.8","17","12","29","28","59","2017/4/6 4:00:00"
"5550","XHPROPM25IN1398A","0.7","29","11","21","25","64","2017/4/6 3:00:00"
"5551","XHPROPM25IN1398A","0.7","13","14","114","29","60","2017/4/4 15:00:00"
"5552","XHPROPM25IN1398A","0.9","25","16","18","47","54","2017/4/6 8:00:00"
"5553","XHPROPM25IN1398A","0.9","54","15","37","53","73","2017/4/4 8:00:00"
"5554","XHPROPM25IN1398A","0.7","29","10","59","30","57","2017/4/4 20:00:00"
"5555","XHPROPM25IN1398A","0.7","14","","48","33","51","2017/4/5 1:00:00"
"5556","XHPROPM25IN1398A","0.7","23","13","81","31","63","2017/4/5 17:00:00"
"5557","XHPROPM25IN1398A","0.9","8","10","46","17","28","2016/10/30"
"5558","XHPROPM25IN1398A","0.9","8","8","58","25","42","2016/10/29 11:00:00"
"5559","XHPROPM25IN1398A","0.9","7","8","78","22","31","2016/10/29 14:00:00"
"5560","XHPROPM25IN1398A","0.9","17","21","84","94","97","2016/10/29 4:00:00"
"5561","XHPROPM25IN1398A","0.9","8","8","57","24","45","2016/10/29 12:00:00"
"5562","XHPROPM25IN1398A","1","6","9","78","22","38","2016/10/29 15:00:00"
"5563","XHPROPM25IN1398A","1.1","22","18","70","106","120","2016/10/28 21:00:00"
"5564","XHPROPM25IN1398A","0.9","7","8","52","26","35","2016/10/29 10:00:00"
"5565","XHPROPM25IN1398A","0.9","15","21","160","79","94","2016/10/28 18:00:00"
"5566","XHPROPM25IN1398A","0.9","9","9","54","19","31","2016/10/29 21:00:00"
"5567","XHPROPM25IN1398A","0.8","7","9","46","17","0","2016/10/30 1:00:00"
"5568","XHPROPM25IN1398A","1.4","25","18","48","101","104","2016/10/28 22:00:00"
"5569","XHPROPM25IN1398A","0.8","15","17","69","74","0","2016/10/29 5:00:00"
"5570","XHPROPM25IN1398A","1","7","8","76","19","34","2016/10/29 16:00:00"
"5571","XHPROPM25IN1398A","1","25","14","65","85","107","2016/10/29 1:00:00"
"5572","XHPROPM25IN1398A","1","24","16","66","87","116","2016/10/29 2:00:00"
"5573","XHPROPM25IN1398A","0.8","8","8","57","28","33","2016/10/29 8:00:00"
"5574","XHPROPM25IN1398A","0.8","9","10","56","36","45","2016/10/29 7:00:00"
"5575","XHPROPM25IN1398A","0.9","12","10","46","18","29","2016/10/29 22:00:00"
"5576","XHPROPM25IN1398A","0.8","7","9","44","17","17","2016/10/30 2:00:00"
"5577","XHPROPM25IN1398A","1.3","26","18","60","102","105","2016/10/28 23:00:00"
"5578","XHPROPM25IN1398A","0.9","11","10","46","17","29","2016/10/29 23:00:00"
"5579","XHPROPM25IN1398A","1.1","25","21","159","110","112","2016/10/28 19:00:00"
"5580","XHPROPM25IN1398A","1","16","8","53","20","37","2016/10/29 19:00:00"
"5581","XHPROPM25IN1398A","1","11","8","53","19","37","2016/10/29 20:00:00"
"5582","XHPROPM25IN1398A","0.8","12","13","62","46","50","2016/10/29 6:00:00"
"5583","XHPROPM25IN1398A","0.9","8","8","64","22","44","2016/10/29 13:00:00"
"5584","XHPROPM25IN1398A","1","8","7","68","18","37","2016/10/29 17:00:00"
"5585","XHPROPM25IN1398A","0.9","21","21","101","97","103","2016/10/29 3:00:00"
"5586","XHPROPM25IN1398A","1.2","21","19","112","122","125","2016/10/28 20:00:00"
"5587","XHPROPM25IN1398A","0.8","7","8","53","26","36","2016/10/29 9:00:00"
"5588","XHPROPM25IN1398A","1.1","27","15","44","85","120","2016/10/29"
"5589","XHPROPM25IN1398A","0.8","8","10","40","18","26","2016/10/30 5:00:00"
"5590","XHPROPM25IN1398A","0.8","10","11","54","18","23","2016/10/30 10:00:00"
"5591","XHPROPM25IN1398A","0.8","12","10","38","18","23","2016/10/30 8:00:00"
"5592","XHPROPM25IN1398A","0.8","8","9","39","18","26","2016/10/30 6:00:00"
"5593","XHPROPM25IN1398A","0.8","7","9","44","18","30","2016/10/30 3:00:00"
"5594","XHPROPM25IN1398A","0.8","8","9","42","17","26","2016/10/30 4:00:00"
"5595","XHPROPM25IN1398A","0.8","9","9","39","18","27","2016/10/30 7:00:00"
"5596","XHPROPM25IN1398A","0.8","11","11","41","18","0","2016/10/30 9:00:00"
"5597","XHPROPM25IN1398A","0.8","10","11","71","19","28","2016/10/30 11:00:00"
"5598","XHPROPM25IN1398A","0.7","20","17","135","34","48","2016/10/28 15:00:00"
"5599","XHPROPM25IN1398A","0.6","16","19","158","40","64","2016/10/28 16:00:00"
"5600","XHPROPM25IN1398A","0.7","14","21","175","52","81","2016/10/28 17:00:00"
"5601","XHPROPM25IN1398A","0.8","10","11","87","21","28","2016/10/30 12:00:00"
"5602","XHPROPM25IN1398A","1","14","17","105","33","75","2017/9/5 13:00:00"
"5603","XHPROPM25IN1398A","","","8","121","31","50","2017/9/5 14:00:00"
"5604","XHPROPM25IN1398A","1.4","23","10","73","32","","2017/9/6 12:00:00"
"5605","XHPROPM25IN1398A","0.7","18","","23","11","16","2017/8/15 1:00:00"
"5606","XHPROPM25IN1398A","0.6","13","8","32","11","13","2017/8/14 23:00:00"
"5607","XHPROPM25IN1398A","0.7","12","12","89","20","22","2017/8/17 12:00:00"
"5608","XHPROPM25IN1398A","0.7","12","10","47","14","24","2017/8/14 21:00:00"
"5609","XHPROPM25IN1398A","1.3","44","23","6","43","59","2017/9/6 5:00:00"
"5610","XHPROPM25IN1398A","0.8","22","20","39","22","29","2017/8/17 10:00:00"
"5611","XHPROPM25IN1398A","0.7","13","9","70","14","32","2017/8/14 19:00:00"
"5612","XHPROPM25IN1398A","1.1","32","25","34","50","65","2017/9/6 11:00:00"
"5613","XHPROPM25IN1398A","0.7","7","8","82","18","57","2017/8/14 17:00:00"
"5614","XHPROPM25IN1398A","0.8","30","23","7","14","45","2017/8/15 6:00:00"
"5615","XHPROPM25IN1398A","0.7","6","8","82","17","","2017/8/14 15:00:00"
"5616","XHPROPM25IN1398A","0.7","26","16","","8","34","2017/8/15 4:00:00"
"5617","XHPROPM25IN1398A","0.9","15","7","101","28","","2017/9/6 13:00:00"
"5618","XHPROPM25IN1398A","0.7","","12","18","10","22","2017/8/15 2:00:00"
"5619","XHPROPM25IN1398A","1.3","45","21","","40","50","2017/9/6 4:00:00"
"5620","XHPROPM25IN1398A","0.6","13","8","31","11","16","2017/8/15"
"5621","XHPROPM25IN1398A","1.1","38","15","6","44","60","2017/9/6 7:00:00"
"5622","XHPROPM25IN1398A","1.4","44","12","18","58","64","2017/9/6 10:00:00"
"5623","XHPROPM25IN1398A","0.7","17","12","54","13","26","2017/8/14 20:00:00"
"5624","XHPROPM25IN1398A","0.7","12","9","40","14","28","2017/8/14 22:00:00"
"5625","XHPROPM25IN1398A","0.8","20","20","59","23","38","2017/8/17 11:00:00"
"5626","XHPROPM25IN1398A","0.7","8","8","76","15","24","2017/8/14 18:00:00"
"5627","XHPROPM25IN1398A","0.8","25","33","10","14","39","2017/8/15 7:00:00"
"5628","XHPROPM25IN1398A","1.2","36","12","8","43","54","2017/9/6 8:00:00"
"5629","XHPROPM25IN1398A","0.7","7","8","78","17","27","2017/8/14 16:00:00"
"5630","XHPROPM25IN1398A","0.7","29","17","8","9","41","2017/8/15 5:00:00"
"5631","XHPROPM25IN1398A","1.3","36","13","13","52","","2017/9/6 9:00:00"
"5632","XHPROPM25IN1398A","1.2","41","18","6","42","61","2017/9/6 6:00:00"
"5633","XHPROPM25IN1398A","","25","10","13","9","33","2017/8/15 3:00:00"
"5634","XHPROPM25IN1398A","0.9","14","6","65","20","21","2017/9/5 19:00:00"
"5635","XHPROPM25IN1398A","0.9","20","6","69","13","","2017/9/7 16:00:00"
"5636","XHPROPM25IN1398A","0.9","12","4","75","23","25","2017/9/5 18:00:00"
"5637","XHPROPM25IN1398A","0.9","12","4","76","28","53","2017/9/5 17:00:00"
"5638","XHPROPM25IN1398A","1","16","15","56","19","","2017/9/5 20:00:00"
"5639","XHPROPM25IN1398A","0.7","11","","84","17","37","2017/8/15 12:00:00"
"5640","XHPROPM25IN1398A","0.7","19","10","16","12","26","2017/8/16 1:00:00"
"5641","XHPROPM25IN1398A","0.9","36","19","15","19","37","2017/8/16 23:00:00"
"5642","XHPROPM25IN1398A","0.7","17","17","22","10","20","2017/8/15 23:00:00"
"5643","XHPROPM25IN1398A","0.7","14","12","52","17","31","2017/8/16 11:00:00"
"5644","XHPROPM25IN1398A","0.8","27","11","30","12","33","2017/8/16 21:00:00"
"5645","XHPROPM25IN1398A","0.7","21","12","32","10","39","2017/8/15 21:00:00"
"5646","XHPROPM25IN1398A","0.8","21","27","28","23","28","2017/8/17 9:00:00"
"5647","XHPROPM25IN1398A","0.7","13","19","37","17","23","2017/8/15 10:00:00"
"5648","XHPROPM25IN1398A","0.8","26","22","10","17","","2017/8/16 8:00:00"
"5649","XHPROPM25IN1398A","0.8","26","9","49","12","35","2017/8/16 19:00:00"
"5650","XHPROPM25IN1398A","1.1","32","24","6","22","46","2017/8/17 7:00:00"
"5651","XHPROPM25IN1398A","0.7","11","8","46","9","27","2017/8/15 19:00:00"
"5652","XHPROPM25IN1398A","0.8","29","58","6","15","33","2017/8/16 6:00:00"
"5653","XHPROPM25IN1398A","0.7","10","10","112","19","49","2017/8/16 15:00:00"
"5654","XHPROPM25IN1398A","0.7","9","8","74","14","31","2017/8/16 17:00:00"
"5655","XHPROPM25IN1398A","0.7","27","33","11","19","39","2017/8/17 5:00:00"
"5656","XHPROPM25IN1398A","0.7","10","9","76","14","39","2017/8/15 17:00:00"
"5657","XHPROPM25IN1398A","0.8","33","","11","19","63","2017/8/17 1:00:00"
