"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","RECEIVETIME"
"12154","XHPRO1582A","1.288","62","23","43","17","53","2017/2/10 5:00:00"
"12155","XHPRO1582A","6.225","91","83","14","164","270","2017/2/12 3:00:00"
"12156","XHPRO1582A","8.112","82","115","15","178","277","2017/2/12 9:00:00"
"12157","XHPRO1582A","8.827","85","121","21","152","225","2017/2/12 10:00:00"
"12158","XHPRO1582A","1.271","78","28","31","25","83","2017/2/10 7:00:00"
"12159","XHPRO1582A","2.257","58","38","62","23","77","2017/2/10 10:00:00"
"12160","XHPRO1582A","0.918","31","12","91","9","62","2017/2/10 17:00:00"
"12161","XHPRO1582A","1.468","98","40","20","51","128","2017/2/10 22:00:00"
"12162","XHPRO1582A","1.109","67","23","43","49","83","2017/2/11"
"12163","XHPRO1582A","1.256","87","35","27","17","56","2017/2/11 5:00:00"
"12164","XHPRO1582A","0.893","24","11","104","18","48","2017/2/11 15:00:00"
"12165","XHPRO1582A","3.717","97","81","14","179","258","2017/2/11 22:00:00"
"12166","XHPRO1582A","2.892","103","111","17","108","193","2017/2/11 8:00:00"
"12167","XHPRO1582A","3.823","98","82","14","176","284","2017/2/12"
"12168","XHPRO1582A","7.788","89","127","31","140","242","2017/2/12 11:00:00"
"12169","XHPRO1582A","1.769","67","64","101","99","182","2017/2/12 16:00:00"
"12170","XHPRO1582A","0.96","44","16","56","20","47","2017/2/10 3:00:00"
"12171","XHPRO1582A","0.755","22","9","99","12","45","2017/2/10 15:00:00"
"12172","XHPRO1582A","4.181","101","","53","150","242","2017/2/12 13:00:00"
"12173","XHPRO1582A","1.112","63","25","47","24","53","2017/2/11 3:00:00"
"12174","XHPRO1582A","1.225","77","31","36","17","41","2017/2/11 6:00:00"
"12175","XHPRO1582A","1.621","41","30","88","24","66","2017/2/11 13:00:00"
"12176","XHPRO1582A","1.659","90","48","25","27","69","2017/2/10 8:00:00"
"12177","XHPRO1582A","1.262","101","48","22","51","129","2017/2/10 20:00:00"
"12178","XHPRO1582A","1.643","61","41","91","89","145","2017/2/13 17:00:00"
"12179","XHPRO1582A","2.212","92","63","9","37","155","2017/8/25 3:00:00"
"12180","XHPRO1582A","7.499","118","150","40","183","293","2017/2/13 12:00:00"
"12181","XHPRO1582A","0.863","45","15","70","26","109","2017/2/9 20:00:00"
"12182","XHPRO1582A","2.595","62","45","66","34","107","2017/8/26 15:00:00"
"12183","XHPRO1582A","2.308","95","36","14","43","147","2017/8/26 19:00:00"
"12184","XHPRO1582A","9.073","102","123","18","280","390","2017/2/13 10:00:00"
"12185","XHPRO1582A","0.97","98","34","15","40","145","2017/8/24 23:00:00"
"12186","XHPRO1582A","1.839","48","37","111","89","104","2017/2/13 16:00:00"
"12187","XHPRO1582A","2.137","97","51","35","135","192","2017/2/13 18:00:00"
"12188","XHPRO1582A","1.737","99","71","9","34","128","2017/8/25 2:00:00"
"12189","XHPRO1582A","2.11","85","64","11","77","151","2017/8/25 7:00:00"
"12190","XHPRO1582A","1.881","86","62","9","47","156","2017/8/25 5:00:00"
"12191","XHPRO1582A","4.759","102","111","56","159","214","2017/2/13 13:00:00"
"12192","XHPRO1582A","4.453","88","80","77","112","157","2017/2/13 14:00:00"
