"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","RECEIVETIME"
"143","XHPRO1193A","0.826","13","6","142","61","","2017/9/20 13:00:00"
"144","XHPRO1193A","1.316","32","6","80","61","147","2017/9/19 21:00:00"
"145","XHPRO1193A","1.77","45","42","45","68","140","2017/9/20 9:00:00"
"146","XHPRO1193A","1.014","27","2","72","41","106","2017/9/20 1:00:00"
"147","XHPRO1193A","1.312","26","7","52","52","99","2017/9/20 5:00:00"
"148","XHPRO1193A","0.787","10","8","","","","2017/9/20 12:00:00"
"149","XHPRO1193A","1.579","50","12","86","71","153","2017/9/19 20:00:00"
"150","XHPRO1193A","1.246","35","3","63","39","98","2017/9/20"
"151","XHPRO1193A","1.471","40","52","42","71","113","2017/9/20 8:00:00"
"152","XHPRO1193A","0.969","20","2","63","34","77","2017/9/20 4:00:00"
"153","XHPRO1193A","","11","5","112","","","2017/9/20 11:00:00"
"154","XHPRO1193A","0.849","16","5","122","43","118","2017/9/20 18:00:00"
"155","XHPRO1193A","0.783","15","7","83","32","77","2017/9/21 10:00:00"
"156","XHPRO1193A","0.895","43","5","74","34","99","2017/9/20 21:00:00"
"157","XHPRO1193A","0.852","22","9","67","34","85","2017/9/21 6:00:00"
"158","XHPRO1193A","0.859","29","7","64","26","78","2017/9/21 21:00:00"
"159","XHPRO1193A","0.785","17","6","72","29","92","2017/9/21 2:00:00"
"160","XHPRO1193A","0.909","32","6","92","37","111","2017/9/20 20:00:00"
"161","XHPRO1193A","0.793","18","11","66","44","84","2017/9/21 5:00:00"
"162","XHPRO1193A","0.9","29","8","57","41","93","2017/9/21 8:00:00"
"163","XHPRO1193A","0.998","28","5","52","29","96","2017/9/22 10:00:00"
"164","XHPRO1193A","0.816","33","7","74","28","74","2017/9/21 20:00:00"
"165","XHPRO1193A","0.868","21","5","77","48","107","2017/9/22 11:00:00"
"166","XHPRO1193A","0.766","18","6","73","26","81","2017/9/21 3:00:00"
"167","XHPRO1193A","0.924","31","6","104","39","82","2017/9/20 19:00:00"
"168","XHPRO1193A","0.862","35","8","54","33","95","2017/9/21 1:00:00"
"169","XHPRO1193A","0.795","18","7","66","34","83","2017/9/21 4:00:00"
"170","XHPRO1193A","0.992","28","9","54","51","97","2017/9/21 7:00:00"
"171","XHPRO1193A","0.824","28","4","82","44","94","2017/9/20 22:00:00"
"172","XHPRO1193A","1.758","30","16","120","106","234","2017/9/19 14:00:00"
"173","XHPRO1193A","0.826","27","4","73","33","81","2017/9/20 23:00:00"
"174","XHPRO1193A","0.867","37","9","54","33","82","2017/9/21"
"175","XHPRO1193A","0.794","16","7","121","38","87","2017/9/21 12:00:00"
"176","XHPRO1193A","0.86","38","8","43","40","88","2017/9/22 4:00:00"
"177","XHPRO1193A","1.388","44","13","124","67","162","2017/9/19 17:00:00"
"178","XHPRO1193A","0.97","27","8","36","39","87","2017/9/22 7:00:00"
"179","XHPRO1193A","0.719","13","6","131","39","85","2017/9/21 13:00:00"
"180","XHPRO1193A","0.653","15","6","130","36","73","2017/9/21 14:00:00"
"181","XHPRO1193A","0.835","17","7","57","47","100","2017/9/22 5:00:00"
"182","XHPRO1193A","1.202","24","8","41","36","78","2017/9/22 6:00:00"
"183","XHPRO1193A","0.799","15","7","103","42","104","2017/9/21 11:00:00"
"184","XHPRO1193A","0.697","20","8","112","15","77","2017/9/21 16:00:00"
"185","XHPRO1193A","0.726","29","7","87","24","71","2017/9/21 19:00:00"
"186","XHPRO1193A","0.622","14","6","125","31","74","2017/9/21 15:00:00"
"187","XHPRO1193A","0.712","22","6","98","32","77","2017/9/21 18:00:00"
"188","XHPRO1193A","0.745","20","7","102","22","68","2017/9/21 17:00:00"
"189","XHPRO1193A","3.396","92","30","35","76","194","2017/9/19 12:00:00"
"190","XHPRO1193A","1.365","41","11","127","","","2017/9/19 16:00:00"
"191","XHPRO1193A","0.663","15","4","120","41","112","2017/9/18 3:00:00"
"192","XHPRO1193A","0.717","19","7","136","34","106","2017/9/18 10:00:00"
"193","XHPRO1193A","1.283","23","7","17","16","23","2017/10/1 7:00:00"
"194","XHPRO1193A","0.804","30","3","108","40","140","2017/9/18 20:00:00"
"195","XHPRO1193A","1.107","18","7","94","55","168","2017/9/19 3:00:00"
"196","XHPRO1193A","1.439","21","9","76","49","118","2017/9/19 5:00:00"
"197","XHPRO1193A","2.805","45","30","97","107","272","2017/9/19 13:00:00"
"198","XHPRO1193A","1.011","40","7","89","56","112","2017/9/17 23:00:00"
"199","XHPRO1193A","0.76","16","5","110","39","70","2017/9/18 6:00:00"
"200","XHPRO1193A","0.806","27","6","132","32","101","2017/9/17 19:00:00"
"201","XHPRO1193A","0.579","19","4","191","33","94","2017/9/18 13:00:00"
"202","XHPRO1193A","1.002","24","5","99","56","145","2017/9/18 23:00:00"
"203","XHPRO1193A","1.687","48","11","42","63","175","2017/9/19 8:00:00"
"204","XHPRO1193A","0.701","18","3","106","40","104","2017/9/18 2:00:00"
"205","XHPRO1193A","0.598","16","4","176","30","105","2017/9/18 16:00:00"
"206","XHPRO1193A","1.705","75","10","52","83","199","2017/9/19 11:00:00"
"207","XHPRO1193A","0.785","28","7","114","46","93","2017/9/18 9:00:00"
"208","XHPRO1193A","1.383","28","10","124","","","2017/9/19 15:00:00"
"209","XHPRO1193A","1.112","53","10","82","59","146","2017/9/17 22:00:00"
"210","XHPRO1193A","0.935","38","6","101","36","115","2017/9/18 19:00:00"
"211","XHPRO1193A","1.163","26","7","77","52","134","2017/9/19 2:00:00"
"212","XHPRO1193A","0.967","22","9","139","48","124","2017/9/20 15:00:00"
"213","XHPRO1193A","0.598","13","4","128","39","85","2017/9/18 5:00:00"
"214","XHPRO1193A","0.593","15","3","187","27","77","2017/9/18 12:00:00"
"215","XHPRO1193A","1.136","53","7","67","38","119","2017/9/18 22:00:00"
"216","XHPRO1193A","2.196","38","14","46","65","144","2017/9/19 7:00:00"
"217","XHPRO1193A","0.858","24","3","94","50","118","2017/9/18 1:00:00"
"218","XHPRO1193A","0.934","39","12","85","37","73","2017/9/18 8:00:00"
"219","XHPRO1193A","0.524","17","3","183","23","88","2017/9/18 15:00:00"
"220","XHPRO1193A","1.206","54","8","77","30","100","2017/9/17 21:00:00"
"221","XHPRO1193A","0.68","18","4","146","20","82","2017/9/18 18:00:00"
"222","XHPRO1193A","1.853","75","11","26","80","209","2017/9/19 10:00:00"
"223","XHPRO1193A","0.625","15","6","119","39","111","2017/9/18 4:00:00"
"224","XHPRO1193A","1.013","24","5","86","67","131","2017/9/19 1:00:00"
"225","XHPRO1193A","0.618","19","5","164","27","79","2017/9/18 11:00:00"
"226","XHPRO1193A","0.957","33","5","96","48","132","2017/9/18 21:00:00"
"227","XHPRO1193A","1.603","28","11","56","55","128","2017/9/19 6:00:00"
