21.5	1	96.17
18.2	0.43	95.1
23.43	0	95.63
22.1	0	96.8
35.83	0	97.2
35.97	0	96.2
30.1	0	97.07
27.2	0	95.93
15.84	0	96.36
11.96	0	96.96
12.67	0	97.08
14.11	-0.86	96.75
17.33	-0.57	97.47
18.9	1.07	94.2
17.47	5	79.13
16.17	6.33	72.47
16.07	8.1	66.69
15.9	9	61.77
14.27	7.93	61.8
15.53	5.27	74.33
30.33	3.03	82.3
28.59	1.69	88.83
24.77	1	91.47
45.2	0.93	92.63
51.77	0	94.07
47.69	0	95.48
33.7	0	95.5
43.4	0	95.17
38.04	0	96.26
39.25	0	96
39.55	-0.03	95.97
35.08	-0.83	95.25
36.57	0	95.7
33.57	0	95.8
29.27	0	95.37
23.63	1.67	90.83
18.38	6.03	75.07
16.57	8.47	64.43
11.37	7	66.53
13.6	7.17	68.53
13.63	7.7	67.23
15.7	7	70.97
15.63	7	73
15.33	7	74.63
20.53	7	75.63
26.13	7	77.1
25.2	7	77.57
14.5	7	75.77
14.27	7	75.37
12.13	3.47	70.2
12.07	7	75.87
6.67	7	75.67
5.25	5.68	77.5
5.86	7.5	84.29
1.97	8	88.7
2.33	8	87
1.67	8.77	89.77
1.6	9	89.93
1.2	9.8	78.3
1.43	10.9	71.53
1.1	11.63	71.1
0.97	12	66.07
1.1	12	65.77
2.1	11.37	68.1
3.33	10.33	72.33
3.37	10	74.47
3.9	10	71.07
3.03	10	72.43
2.8	10	73.03
2.57	10.37	68.07
2.77	10.47	67.9
3.17	10	74.57
2.41	8.79	87.14
1.84	8	92.84
5.61	8	96.57
2.4	8	96.35
1.6	8	94.27
1.62	8	93.28
2.23	8	92.47
2.07	8.8	90.7
4.13	9	88.57
2.8	9.93	84.47
4.23	10.67	81.03
3	11.33	79.13
3.93	11.37	80.47
3.53	11.97	79.43
3.7	11	81.27
4.47	10.33	82.7
8.76	10	85.79
8.76	8.97	88.62
10.67	8	91.57
11.23	8	91.5
6.47	8	90.5
7.17	7.93	92.33
10.27	6.8	94.2
11.63	6	96.41
9.71	6	96.59
16.89	4.94	97.56
12.53	5	96.97
12.3	5.2	96.87
7.1	7.1	87.43
3	9.45	66.97
16.83	8.57	79.67
16.3	8.3	84.8
15.67	9	81.67
14.67	8.07	82.8
2.93	8.9	63.33
2.37	9	62.03
2.93	9	59.47
5.47	9	59.67
7.9	8.77	74.6
10.23	8.5	80.27
1.07	9.77	73.7
0.7	8.43	79.83
1	7.73	82.3
1.48	7	84
1.54	6.46	90.68
0.89	5.89	93.67
1.56	5.88	92.5
0.67	5.03	87.9
0.59	5	87.52
0.33	5	86.67
0.67	4.6	93.2
1.37	4.7	95.47
2.34	5	95.07
3.27	5.57	97.1
2.39	6	96
2.9	5.9	94.47
1.73	5	94.2
2.37	5	96.23
1.9	4.23	95.33
2.4	4	95.3
2.77	4	96
2.57	4	96
3.03	4	95.67
1.96	3.5	94.69
3.42	3.89	95.47
6.74	3	97
5.9	3	95.17
5.7	3	95.57
6.77	2.7	96
7.1	2	97.9
4.6	4.47	93.83
4.77	6.93	84.47
3	8.13	78.7
2.8	8.5	76
2.37	9.27	71.97
2.27	8.77	73.83
6.3	6.87	82.33
8.17	6	86.5
3.5	6	84.6
2.47	6	80.73
1.97	6	78
1.8	6	74.97
1.3	6	71.77
1.17	6	69.37
0.86	5.07	63
0.77	5.23	60.17
0.67	6.29	69.92
0.86	5.03	80.9
0.7	4.73	86.93
0.57	4	90.57
0.83	4	91.4
0.41	4	88.62
0.23	4.7	85.57
0.6	5	82.97
0.73	5.07	81.77
0.73	6	79.23
0.8	6.57	74.4
9.9	6.23	93.9
10.57	7	95.97
9.97	7.37	96
7.47	8.73	96.27
3.17	10	94.23
1.77	10	94.23
4.9	8.83	93.63
0.9	10.57	90.43
0.87	11	89.9
0.67	11	89.59
0.47	10	89.89
0.44	10	95.81
0.55	8.45	96.18
3.21	8.67	94.96
4.83	7.6	94.9
6.07	7	96.83
5.73	7.23	96.63
6	8.93	94.2
4.57	10	86.8
4.07	11.07	83.67
3.13	11.97	80.2
1.83	12.2	71.97
1.77	12.23	72.3
1.5	11.07	73.53
2.03	9.37	78.37
3.3	9	78.87
2.1	9	77.3
2.13	9	78.47
2.28	8.24	79.38
1.93	8	78.47
1.83	6.67	73.73
2.6	7.17	71.67
5.35	9	73
5	8.8	67.03
4	8	72
4.62	5.86	70.28
3.59	7	69.07
3.23	6.17	74.93
2.97	6	74.4
2.6	6.1	73.7
2.73	7	71.8
2.38	7	69.83
2.2	7.47	68.9
2.53	8	68.63
2.27	8	67.63
3.2	7.7	68.93
3.27	7	69.53
3.3	7	70.97
3.87	7	71.03
4.07	7	72.03
4.1	6.67	73
3.77	6.4	73
3.17	6.1	73.1
3.2	6	74
3.27	6	74.53
3.41	6	74.17
3.14	6	73.33
2.9	0.8	66
3	2.94	69.35
4.06	2.94	65.47
4	6	75
4.18	6	74.86
4.23	6.07	73.67
4.3	8.03	67.83
3.53	10	60.97
3.43	11	58.07
3.59	11.66	56.28
3.7	11.4	56.37
3.7	10.2	59.5
3.43	7.47	67.2
4.8	6.57	70.43
6.1	6	71.45
6.17	6	70.87
6.23	6	70.3
5.43	6	70.77
5.03	6	70.27
3.9	6	70.2
3.87	6	70.13
3.17	5.76	68.14
3.48	5	72
3.73	5	72
3.85	3.04	65.15
3.9	5	70.62
3.87	5	70.47
3.37	5.07	70.03
2.9	7.03	63.9
2.69	8.9	57.52
2.1	9.9	54.1
1.86	10.59	52.14
2.1	11	51.37
2.21	9.86	53.45
3.66	6.79	61.1
4.23	6	63.4
3.87	5.97	65.17
3.87	5.13	64.9
3.7	5	64.2
3.3	5	61.83
3.23	5	63.63
2.53	5	62.17
2.08	5	63.15
1.77	4.73	64
1.75	4.42	63.38
2.07	4	62.87
2.25	4	64.04
2.16	4	64.06
4.11	3.04	64.19
4	3.7	63.53
3.48	5.24	58.41
2.97	6.97	53.13
2.5	7.87	50.97
2.24	7.79	51.52
1.97	7.3	51.83
2.17	6.24	54.86
3.07	3.4	63.1
3.2	3	64.9
3.48	3	65.28
3	3	65.69
2.38	1.28	62.97
2.7	2.73	65.83
3	2.8	67.7
