391.81	937.15	774.65	1167.4	1.17	1.3	7.47	96.7	11830.43	327.57	43.33	10.23	0.9
390.85	921.7	776.3	1153.82	0.68	1.32	8	96	11826.89	309	34.68	7.68	0.84
392.79	939.41	792.49	1126.8	1.69	4	8	97	11835.83	361.9	66.17	15.45	2.41
392.59	916.3	770.49	1156.3	1.93	3.83	8	95.66	11828.86	370.31	66.45	18.59	2.28
392.58	905.23	760.26	1159.77	1.73	3.6	8.07	93.2	11838.03	346.37	61.5	16.23	2.57
393.51	909.16	767.38	1162.26	2.13	4.17	9	90.37	11840.2	363.37	76.7	21.13	2.3
395.53	900.94	777.19	1140.88	3.07	4.9	9.23	88.83	11849.57	406.4	99.63	25.23	2.63
394.96	904.64	794.26	1152.63	3.3	7.33	10.4	88.2	11844.43	398.53	104.33	30.2	3.57
393.42	908.48	796.76	1126.95	3.15	6.77	10	88.23	11838.23	388.62	98.38	27.85	3.69
395.67	973.73	666.55	1173.97	3.55	6.27	8.64	100.5	11820.59	451.09	118	30.27	3.68
396.21	934.05	694.69	1151.83	3.53	5.5	8.53	98.23	11836.43	447.37	118.23	29.67	2.87
398.48	937.84	721.81	1131.4	5.7	7.43	8	98.63	11838.13	597.27	182.03	40.97	2.47
398.48	944.77	733.41	1095.03	6.07	7.17	8	99	11835.87	666.57	205	41.53	2.43
398.2	932.49	742.32	1090.83	7.27	8.63	8	99	11832.53	726.43	237.17	49.37	2.8
397.15	933.8	741.62	1107.26	7.03	9.48	8.38	99	11836.03	675.41	221.62	51.45	3.52
396.09	916.54	735.19	1112.12	4.37	6.43	8	99	11819.53	518.67	143.5	33.6	2.73
396.32	924.72	727.15	1122.23	4.92	6.46	8	99	11832.25	553.71	159.63	39.21	2.5
398.34	944.7	748.59	1081.1	3.7	4.17	7	97.6	11827.5	483.23	118.6	27.47	1
396.51	930.36	739.12	1079.39	1.07	1.59	6.45	97.52	11789.21	346	48.1	11.41	0.83
396.82	924.28	734.24	1073.22	1.27	1.63	6.03	95.9	11821.17	350.7	49.8	11.7	1.03
396.86	919.74	718.42	1079.32	1.4	1.67	6.27	93.9	11832.37	345.17	52.13	12.03	0.77
396.29	909.39	711.87	1075.14	1	1	7	90.27	11828.8	298.43	36.03	7.63	0.5
396.82	903.7	720.69	1060.73	0.93	1	7.03	88.33	11832.03	306.13	35.73	8	0.63
397.02	907.08	723.09	1046.22	0.97	1.1	7.83	86.37	11834.03	311.53	40.3	9.6	0.9
396.39	894.98	735.28	1055.58	0.97	1.07	7.1	85.73	11833.3	297.77	36.9	8.03	0.6
397.57	897.77	740.15	1048.96	1.03	1.17	7	84.63	11829.6	312.6	39.47	8.23	0.53
400.78	921.71	736.89	1064.46	4.9	5.13	6.07	85.2	11829.3	661.8	194.9	37.33	1.2
405.76	929.26	754.46	1061.13	12.5	12.83	5.47	86.8	11819.1	1127.37	395.27	82.2	2.07
408.42	949.52	774.55	1046.94	8.7	8.73	4.77	89.2	11818.5	908.97	289.87	57.87	1.17
409.5	979.78	773.73	1061.75	10.97	11.23	4	91.5	11820.8	1114.53	379.07	70.77	2.33
403.69	933.06	755.5	1053.93	7.57	7.77	4.73	87.8	11823.27	837.87	263.03	51.67	1.33
408.43	956.71	777.66	1034.15	14.3	14.43	5	89.23	11820.8	1330.53	482.47	90.2	2.23
408.74	983.01	798.86	1036.41	17.13	17.53	5.97	93.73	11820.97	1481.27	562.53	111.53	2.93
404.3	967.04	789.41	1019.64	11.93	12.32	6	93.11	11822.5	1096.61	394.96	80.54	2.46
411.56	960.63	781.33	994.51	13.21	13.59	5.55	92.07	11821.41	1206.59	435.34	86.03	2.31
413.79	925.54	794.47	942.02	12	12.57	3.63	93	11817.17	1174.73	408.7	81.57	2.07
417.89	944.03	821.43	957.52	15.7	17.35	2.39	96.26	11801.91	1391.17	513.39	112.96	5.65
406.2	963.07	807.72	987.96	8.23	10.69	2.81	96.46	11807.15	896.46	279.85	60.69	4
422.31	962.37	818.6	996.47	3.71	4.57	3	96	11813.14	574.43	124.71	25.86	1.43
395.28	940.7	737.2	1007.2	3	3	4	90.6	11820	463.6	85.8	19.6	0.6
398.4	929.19	759.25	994.27	6.67	7.07	4	88.33	11808.33	751.8	219.43	47.23	1.57
397.8	917.12	777.81	980.15	5.97	6.57	4	88.63	11813.23	733.17	206.8	42.13	1.33
397.09	910.34	783.56	963.83	4.89	5.14	4.93	86.32	11817.25	654	177.07	34.64	0.93
399.9	918.75	771.98	983.34	6.47	6.67	6	83.03	11823.73	738.6	222.73	43.97	1.23
401.9	935.65	769.57	1019.44	8	8.27	6.67	81.33	11832.8	840.77	272.1	51.7	1.63
399.02	914.91	754.84	1014.8	7.53	7.7	7	79.23	11828.67	807.83	260.97	49.77	1.17
400.42	931.62	773.34	1023.18	8.27	8.3	7	79.7	11832.03	850.07	281.17	55.5	1.23
397.28	902.8	755.6	1035.85	9.5	9.53	6.67	78.47	11833.13	957.1	330.8	61.3	0.9
406.88	950.25	786.24	1022.27	21.87	21.87	6	82.33	11831	1916	758.8	139.03	1.77
410.45	979.37	797.34	1031.17	18.03	18.2	6	84.3	11833.3	1569.17	602.3	116.27	2.77
