0.975	38	7	29	46	34
1.068	50	7	13	49	45
0.927	41	8	28	35	20
0.789	34	8	44	27	25
0.815	38	9	39	31	39
0.766	25	8	55	32	39
0.811	26	8	49	35	39
0.815	22	8	51	36	34
0.82	21	8	53	39	32
0.813	19	8	62	45	33
0.8	15	8	81	55	45
0.822	16	9	84	63	49
0.821	20	10	78	63	52
0.855	26	10	68	67	56
0.859	25	12	67	61	55
0.816	24	12	72	52	52
0.787	24	14	77	44	52
0.755	26	15	84	37	51
0.754	26	15	91	37	1
0.8	23	15	100	35	55
0.507	24	15	105	32	70
0.479	22	16	114	31	55
0.507	25	16	110	35	63
0.581	25	16	112	43	76
0.69	25	15	116	59	87
0.665	23	16	123	58	81
0.625	20	14	125	52	74
0.614	20	12	117	48	71
0.598	20	11	113	44	64
0.564	18	11	109	35	60
0.522	17	10	104	28	49
0.542	16	10	104	31	52
0.547	17	8	95	31	48
0.559	16	8	88	30	40
0.71	16	9	82	33	43
0.667	19	9	78	37	48
0.654	21	10	77	43	49
0.69	26	10	72	51	56
0.737	25	10	76	58	62
0.751	26	10	76	60	62
0.753	21	11	81	54	59
0.848	21	10	78	44	53
1	20	11	81	41	52
1.024	22	11	79	39	55
1.032	24	10	74	38	59
0.896	23	10	75	29	51
0.825	28	9	69	22	47
0.924	29	9	64	24	48
0.862	24	9	68	26	51
0.892	26	10	59	30	52
0.866	29	10	51	31	50
0.779	25	10	54	30	47
0.681	20	9	58	24	40
0.811	21	9	55	22	39
0.735	18	8	55	22	37
0.639	19	9	50	26	36
0.604	18	8	51	29	37
0.597	16	8	55	27	32
0.587	16	8	52	27	34
0.572	17	8	50	27	34
0.61	23	8	43	26	36
0.67	37	8	27	27	40
0.785	42	8	21	33	53
0.747	37	8	32	26	42
0.626	22	8	56	17	31
0.666	27	8	53	17	34
0.671	29	8	52	18	44
0.695	36	8	46	23	51
0.766	47	9	34	28	57
0.647	40	8	46	23	52
0.546	25	8	67	19	43
0.545	25	8	75	16	40
0.547	20	7	80	16	35
0.577	25	7	73	18	40
0.8	23	7	1	20	1
0.751	21	7	69	21	1
0.679	20	7	69	22	33
0.721	22	7	67	25	37
0.846	20	8	66	29	40
1.028	26	9	51	31	47
0.815	16	8	67	29	38
0.767	19	8	60	28	36
0.766	21	8	53	30	41
0.736	25	8	50	29	36
0.753	32	8	42	29	38
0.779	29	8	46	28	42
