实际值	线性回归	决策树	SVR	随机深林	GBDT
101.37	156.28439047319094	115.06428571428569	233.15068910641884	118.9495	63.41567169412463
581.43	605.1049470520874	712.49	556.9118917862711	592.8558333333333	622.1714406383807
417.5	447.73425134604213	364.1	420.0352786902962	356.58000000000004	363.35470604584526
194.3	297.5686159567753	206.90083333333328	332.93943462258227	224.24550000000002	182.30190739659915
515.03	585.5946263575835	560.25	541.4097573399571	526.3	539.9877707499978
126.77	151.15458516857353	83.43	251.76604072089015	144.52766666666668	100.28025653269393
346.83	423.71386882405653	244.6808333333333	414.273784266838	295.759	270.4888331888648
515.47	568.4775226595065	475.90375	523.7508240499544	464.8376666666667	481.06100303091335
617.6	615.394739108783	712.49	556.8673832798695	619.3915	630.5922859553084
210.73	256.19840734452737	206.90083333333328	326.31692891022584	225.118	196.7692842407664
271.57	310.15685042357387	356.77	364.6098496744973	302.52500000000003	261.6543457607235
563.17	590.3479945291842	585.32	504.5742400958558	566.7833809523811	563.455475260526
327.03	369.06070857686643	350.87	365.53856662297994	305.32000000000005	312.7114936215696
634.7	653.9674672061221	587.1622222222223	585.0771065384642	614.5067166666665	633.4424726156062
495.8999999999999	550.3422217027975	475.90375	509.17670705391185	482.4087142857143	488.6258787519235
85.17	207.98253399957736	44.7	151.6736274272236	56.673	75.79181251152498
301.4	376.72414751022336	244.6808333333333	399.3875424726016	285.34499999999997	235.89081399362445
381.13	502.2130994870054	417.58919999999995	486.7912113016355	433.29825	471.6391806066173
478.1000000000001	538.344158399393	417.58919999999995	501.4877824015001	439.25424999999996	414.0593550156998
225.37000000000003	282.5711685639988	191.8	261.5944688913734	199.26700000000002	176.61339766565476
703.43	729.9788909878431	774.9378571428571	660.7431640209181	763.2100000000002	718.3381139236099
196.03	234.9171081684914	206.90083333333328	305.5614793327486	215.408	200.8370410954947
401.63	501.7365740676519	475.90375	491.58814949656755	440.154	424.71413693541143
466.4	580.4242980231527	560.25	550.519196838574	536.884	518.5645409967569
358.87	429.8793975084837	244.6808333333333	416.6096905806551	279.1515	286.777025208778
484.6	576.497699930712	475.90375	497.6981312029872	514.9977142857143	494.13227941536513
108.23	114.42140379421816	201.87	225.50270511132658	121.88000000000001	155.60829093871666
174.1	212.5155244170778	206.90083333333328	286.05024325371903	221.92200000000003	196.01158430783863
709.5	690.47490921508	739.3	621.9368040988959	734.177	681.3600361783507
594.03	594.2526254884328	587.1622222222223	554.2450130503934	590.1244333333334	612.1667109708736
699.3	745.641743105739	774.9378571428571	662.1221727675128	757.6560000000001	734.9785564533377
75.17	130.57064657741597	115.06428571428569	225.67942616853097	116.79016666666666	85.5258518884067
244.93000000000004	257.4058526889658	206.90083333333328	308.18348056280445	205.28350000000003	208.24475210612414
249.59999999999997	318.45626705913634	350.87	369.12496876216187	317.54100000000005	286.05156424876117
229.33000000000004	277.3266439171752	206.90083333333328	339.8578629907175	237.21500000000003	217.72994570334572
102.87	173.55303824303434	149.6877777777778	248.1188396537805	120.7095	118.10587810080935
210.43	267.1947414090694	206.90083333333328	326.00197803960447	223.83900000000003	195.17811238522657
210.13	344.43771006922947	94.6	304.91845982268933	225.034	194.0681642993028
221.0	258.83268225198	149.6877777777778	245.14641349088356	155.3645	138.86583414170408
137.97	204.48853226909472	193.025	266.45683496108893	112.11749999999999	138.2974667066284
291.97	360.9554573118042	244.6808333333333	399.7942286175753	301.06699999999995	272.4574513857167
44.57	-25.73930020804477	57.73	122.38903512105134	35.089	77.5071752295407
226.99999999999997	270.9883119622818	149.6877777777778	276.80291094963906	184.03400000000002	178.10560563706122
94.07	140.37320559297086	115.06428571428569	225.63829724150145	106.05866666666668	53.12979364822986
627.53	646.4933164285233	712.49	575.5270482550561	637.0764166666668	634.5583608587632
116.70000000000002	154.68031545741664	193.025	253.04119044459478	139.71366666666665	157.34047086988943
168.43	138.46810220166978	115.06428571428569	227.57799667206973	109.35950000000001	138.26560930747303
329.93	396.18284306412045	244.6808333333333	412.28225631905457	286.6814999999999	270.0187131014536
208.57	308.65434157911466	136.53833333333333	318.97719915663225	200.02200000000002	202.01462577928993
312.63	396.0061990407063	244.6808333333333	405.21267593975114	284.8445	230.95337514340005
102.77	281.7175059208061	136.53833333333333	219.07863995976348	204.73	141.19133109655613
42.17	96.56136365003172	115.06428571428569	204.81341113398443	121.79616666666668	107.58568817843455
145.13	188.97793792567296	83.43	277.0864117067557	176.65866666666665	129.23142726320518
293.4	307.3142651477475	244.6808333333333	369.9916483087043	287.757	232.44868253457938
214.07	364.01744787671527	350.87	353.0564028570049	280.55	291.07972699218783
446.1	545.2213398079145	475.90375	445.7898068359409	498.821	532.5522197094912
246.12999999999997	305.4156257393371	323.53	342.50636336986463	226.71849999999998	244.5653351699349
64.57	227.5597373969613	149.6877777777778	273.8435892848295	125.483	174.2886218546666
