实际值	线性回归	决策树	SVR	随机深林	GBDT
404.77	404.2722841418402	398.55179856115126	418.48565557495226	399.942	402.70700369545045
396.57	394.13702106818187	398.55179856115126	414.2830769255631	398.50275	399.4355856749876
400.47	390.9473885600796	404.37	414.5908509133272	411.762	408.8870510358854
397.3	422.23593382556004	395.9863636363636	425.57665026048505	405.0693333333333	401.3143622341767
411.13	386.99671892893116	398.55179856115126	416.628132854743	401.231	399.05725011484543
412.0	409.4290718662791	405.9	416.74311373521266	413.47425	417.54427484397286
391.57	396.9235960312048	398.55179856115126	416.43412769808367	398.1094736842105	401.3328539054745
395.33	386.9724428032554	398.55179856115126	413.3219125615816	405.055	401.85013487927165
395.0	423.6652133978753	395.9863636363636	426.0230269954709	406.164	398.94145153643444
394.6	419.4261567367006	395.9863636363636	422.3980765763566	401.0948333333334	400.8099163729702
411.37	395.25365214418787	398.55179856115126	420.3402869504549	401.969	399.86688451753315
399.2	388.671664830116	386.18035714285713	416.5104712455984	383.669	386.7403935763522
419.1	383.6805870492834	398.55179856115126	414.25961772429446	397.37	399.7844835597278
396.27	395.3798905835031	386.18035714285713	417.02055568561406	386.408	387.7685000161211
382.1	385.0700874669654	384.486	417.2537783692668	387.5155	387.65317088939844
416.3	390.1037714344357	398.55179856115126	419.92117748988943	399.012	398.6104100099079
382.77	379.09468612821115	386.18035714285713	414.89170584802594	389.7745	388.4847849306227
410.73	389.57403296336224	386.18035714285713	414.7731334243992	387.34299999999996	389.88632133282005
426.72	378.0872177305778	398.55179856115126	412.0124140837302	397.37	404.18404053209196
381.07	380.5463790283527	386.18035714285713	415.5369453160418	384.821	386.86897270915944
377.53	382.0769724120936	381.4035	414.37699239389383	385.454	384.56437534070983
415.57	383.72456359139187	398.55179856115126	410.83333742767087	397.01599999999996	397.1753193341169
382.63	379.2786602582428	384.486	416.2632971924636	389.32849999999996	388.9151547148846
379.33	384.0358091694595	401.774	418.56043358621264	396.91183333333333	393.21013933858393
397.2	396.02879027207126	386.18035714285713	417.47893972216593	385.519	381.62643302671756
381.57	379.6101253395428	386.18035714285713	414.8557030487957	385.491	385.98576486470654
410.03	399.348197540058	398.55179856115126	424.2119168054693	404.682	401.998140169168
408.37	394.5700175880889	398.55179856115126	422.00849624118166	397.25600000000003	399.3452251675854
404.83	384.7073839299146	384.486	416.15795924767065	388.0285	388.242263434497
413.23	394.7687605794802	401.774	421.60992035705266	402.1656363636364	395.49997881687716
377.0	386.8118516319703	381.4035	415.9095825761518	386.055	383.9280925245044
414.37	392.306462998611	398.55179856115126	419.82024073118487	398.3946666666667	397.7822928550737
416.57	397.1367059028032	398.55179856115126	422.12372424264663	402.9187008797654	398.325698736985
410.03	406.9097797405694	398.55179856115126	425.0650243907887	399.3318258263213	400.7137597353733
378.03	384.9836014819442	384.486	417.4829319011974	390.26550000000003	388.82762809997905
379.23	386.6657028539112	401.774	418.2650379930069	396.91183333333333	390.2932376483702
415.9	410.76165744078264	398.55179856115126	425.4168141224975	397.36759249298797	393.6408233607856
415.63	396.45342837451153	398.55179856115126	420.041475671296	400.718	400.1924291985233
408.5	397.2903521842427	398.55179856115126	424.5265513320012	405.125	413.5702064997412
409.53	393.54103673448344	401.774	421.5507182663799	399.0076363636364	396.92146370712084
418.0	387.8262406309658	398.55179856115126	413.0003368946484	401.4977666666667	404.0298752615423
403.7	387.68178758144745	401.774	418.6269233366343	395.0005	393.50316584009545
407.03	391.5758043306224	398.55179856115126	419.8909742999192	398.7909696969697	393.3525058589976
424.97	394.90362676739414	398.55179856115126	422.0535747233397	398.7909696969697	395.898965266525
418.27	388.65189991877793	398.55179856115126	416.87932258775925	397.37	405.84634016093696
406.07	406.0016199847429	398.55179856115126	424.36613112617476	407.928	397.8394363695829
381.2	383.11811115687124	384.486	417.4803372347183	391.2155	385.5601636580665
401.53	391.80677386708606	401.774	420.666814365596	396.97463636363636	392.51599106885106
